Models,Prompts,Runs,Average Q %,C,E,Time(S),SCI_g_per_run,SEI_1_per_g,CER_%_per_g,SCV,SCV_E,SCI NORM,Time(S)_NORM,SVI,ECO,DeepSeek APᵥ₀ C mean,DeepSeek APᵥ₃ C mean,DeepSeek APᵥ₀ Q% Norm,DeepSeek APᵥ₃ Q% Norm,DeepSeek APᵥ₀ E HarmMean,DeepSeek APᵥ₃ E HarmMean,,Model,Metric,Mean ,Std ,Stability_Index,Std Norm,,Model,Stability_Index Mean,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,1,88%,1.35,0.005,140.8251004,0.389,2.570694087,0.6518518519,0.004628804454,1.249777203,0.5,0.5058413324,0.3552151402,1.003894222,1.3,1.34,0.88,0.88,0.004444444444,0.003,,deepseek-coder-7b-instruct-v1.5 ,SCI_g_per_run,0.3112,0.0778,0.75,0.08824265904,,deepseek-coder-7b-instruct-v1.5 ,0.8731549815,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,2,88%,1.34,0.005,138.5295356,0.389,2.570694087,0.6567164179,0.004740623831,1.270487187,0.5,0.486798347,0.359764753,0.991198898,,,,,,,,deepseek-coder-7b-instruct-v1.5 ,SEI_1_per_g,3.427592117,0.8568980291,0.75,,,Meta-Llama-3-8B-Instruct,0.72664,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,3,88%,1.31,0.005,135.5402557,0.389,2.570694087,0.6717557252,0.00495613441,1.298507216,0.5,0.4620006086,0.3658669065,0.9746670724,Llama APᵥ₀ C mean,Llama APᵥ₃ C mean,Llama APᵥ₀ Q% Norm,Llama APᵥ₃ Q% Norm,Llama APᵥ₀ E HarmMean,Llama APᵥ₃ E HarmMean,,deepseek-coder-7b-instruct-v1.5 ,CER_%_per_g,0.6494553377,0.002396514161,0.9963099631,,,Mistral-7B-Instruct-v0.3,0.6172680412,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,4,88%,1.77,0.006,183.727027,0.4668,2.142245073,0.4971751412,0.002706053374,0.7982857453,0.75,0.8617366558,0.2462666726,1.063849518,0.745,0.575,0.88,0.88,0.005454545455,0.00375,,Meta-Llama-3-8B-Instruct,SCI_g_per_run,0.625,0.1167,0.81328,0.1337662764,,Qwen2.5-1.5B-Instruct,0.9150268336,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,5,88%,1.4,0.005,144.8417985,0.389,2.570694087,0.6285714286,0.004339710187,1.215118852,0.5,0.5391620758,0.3475252207,1.026108051,,,,,,,,Meta-Llama-3-8B-Instruct,SEI_1_per_g,3.213367609,1.071122536,0.6666666667,,,Phi-3.5-mini-instruct,0.7580808081,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,6,88%,1.42,0.005,147.5997876,0.389,2.570694087,0.6197183099,0.004198639579,1.19241364,0.5,0.5620411275,0.3424350554,1.041360752,Mistral APᵥ₀ C mean,Mistral APᵥ₃ C mean,Mistral APᵥ₀ Q% Norm,Mistral APᵥ₃ Q% Norm,Mistral APᵥ₀ E HarmMean,Mistral APᵥ₃ E HarmMean,,Meta-Llama-3-8B-Instruct,CER_%_per_g,1.617647059,0.5823529412,0.64,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,7,88%,1.36,0.005,141.5730523,0.389,2.570694087,0.6470588235,0.004570494265,1.24317444,0.5,0.5120460092,0.3537575158,1.008030673,1.41,0.49,0.89,0.89,0.005,0.003428571429,,Mistral-7B-Instruct-v0.3,SCI_g_per_run,0.3112,0.0778,0.75,0.08824265904,,deepseek-coder-7b-instruct-v1.5 ,,,Meta-Llama-3-8B-Instruct,,,Mistral-7B-Instruct-v0.3,,,Qwen2.5-1.5B-Instruct,,,Phi-3.5-mini-instruct,,
deepseek-coder-7b-instruct-v1.5 ,APV0,8,88%,1.79,0.006,186.0144767,0.4668,2.142245073,0.4916201117,0.002642913177,0.7884690979,0.75,0.8807123228,0.2437819362,1.074692756,,,,,,,,Mistral-7B-Instruct-v0.3,SEI_1_per_g,3.427592117,0.8568980291,0.75,,Prompts,SCI,SEI,CER,SCI,SEI,CER,SCI,SEI,CER,SCI,SEI,CER,SCI,SEI,CER
deepseek-coder-7b-instruct-v1.5 ,APV0,9,88%,1.37,0.005,142.5490537,0.389,2.570694087,0.6423357664,0.004506068259,1.234662703,0.5,0.5201424835,0.3518733578,1.013428322,Qwen APᵥ₀ C mean,Qwen APᵥ₃  C mean,Qwen APᵥ₀ Q% Norm,Qwen APᵥ₃  Q% Norm,Qwen APᵥ₀ E HarmMean,Qwen APᵥ₃  E HarmMean,,Mistral-7B-Instruct-v0.3,CER_%_per_g,1.249529599,0.6440874222,0.4845360825,,APᵥ₀,0.35,2.892030848,0.6779259259,0.43,2.35646958,1.205147059,0.39,2.570694087,0.6323507181,0.47,2.142245073,1.192307692,0.39,2.570694087,1.422924901
deepseek-coder-7b-instruct-v1.5 ,APV0,10,88%,1.23,0.004,128.0303008,0.3112,3.213367609,0.7154471545,0.00558810805,1.718343225,0.25,0.3997013592,0.4585815137,1.119761087,0.78,0.78,0.93,0.93,0.006,0.005090909091,,Qwen2.5-1.5B-Instruct,SCI_g_per_run,0.5057,0.0389,0.9230769231,0.04271904169,APᵥ₁,0.35,2.892030848,0.6075566274,0.51,1.989227568,0.3906980383,0.47,2.142245073,0.4018570613,0.47,2.142245073,1.170969275,0.47,2.142245073,0.4605614358
deepseek-coder-7b-instruct-v1.5 ,APV0,11,88%,1.41,0.005,146.0555865,0.389,2.570694087,0.6241134752,0.004273122925,1.205020665,0.5,0.5492311219,0.3452665212,1.032820748,,,,,,,,Qwen2.5-1.5B-Instruct,SEI_1_per_g,1.989227568,0.1530175052,0.9230769231,,APᵥ₂,0.35,2.892030848,0.5726116534,0.39,3.060350104,1.434782609,0.54,1.874464439,0.3536332715,0.35,2.892030848,0.4571506035,0.47,2.142245073,1.156794425
deepseek-coder-7b-instruct-v1.5 ,APV0,12,88%,1.32,0.005,137.0510077,0.389,2.570694087,0.6666666667,0.004864368953,1.284193404,0.5,0.474533136,0.362757287,0.9830220907,Phi APᵥ₀ C mean,Phi APᵥ₃ C mean,Phi APᵥ₀ Q% Norm,Phi APᵥ₃ Q% Norm,Phi APᵥ₀ E HarmMean,Phi APᵥ₃ E HarmMean,,Qwen2.5-1.5B-Instruct,CER_%_per_g,1.090834697,0.1014729951,0.9069767442,,APᵥ₃,0.23,4.284490146,0.6568627451,0.31,3.427592117,1.686666667,0.27,3.748928877,1.81935753,0.43,2.524788836,1.244680851,0.35,2.892030848,0.6002337359
deepseek-coder-7b-instruct-v1.5 ,APV0,13,88%,1.2,0.004,124.3330992,0.3112,3.213367609,0.7333333333,0.00589813443,1.769440329,0.25,0.3690310176,0.4688550952,1.095224814,0.675,1.605,0.96,0.96,0.005,0.004444444444,,Phi-3.5-mini-instruct,SCI_g_per_run,0.3501,0.0389,0.8888888889,0.04271904169,,-33.33333333,48.14814815,,-27.27272727,45.45454545,,-30,45.83333333,,-8.333333333,17.85714286,,-10,12.5,
deepseek-coder-7b-instruct-v1.5 ,APV0,14,88%,1.43,0.005,147.9735008,0.389,2.570694087,0.6153846154,0.004158748777,1.18940215,0.5,0.5651412865,0.341756776,1.043427524,,,,,,,,Phi-3.5-mini-instruct,SEI_1_per_g,2.892030848,0.3213367609,0.8888888889,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,15,88%,1.62,0.006,167.4101061,0.4668,2.142245073,0.5432098765,0.00324478545,0.8760920715,0.75,0.7263787294,0.2655753825,0.9865021311,,,,,,,,Phi-3.5-mini-instruct,CER_%_per_g,1.013532969,0.3777713792,0.6272727273,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,16,88%,1.37,0.005,142.220526,0.389,2.570694087,0.6423357664,0.004516477225,1.23751476,0.5,0.5174171632,0.3525053314,1.011611442,model,ap_version,SCV_mean,SCV_median,SCV_E_mean,SCV_E_median,,,,,,,,,deepseek-coder-7b-instruct-v1.5 ,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,17,88%,1.25,0.004,129.4643704,0.3112,3.213367609,0.704,0.005437789548,1.699309234,0.25,0.4115977634,0.4547167647,1.129278211,deepseek-coder-7b-instruct-v1.5 ,APᵥ₀,0.005021419365,0.005021419365,1.470831457,1.470831457,,Model,SVI MEAN,,Model,SCV,SCV_E,,I_APV0 (gCO2/kWh),I_APV3 (gCO2/kWh),ΔSCI%,ΔSEI%,ΔEmission%,GQI_APV0,GQI_APV3,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,18,88%,1.8,0.006,185.9971838,0.4668,2.142245073,0.4888888889,0.002628474684,0.7885424053,0.75,0.880568868,0.2438005325,1.074610782,deepseek-coder-7b-instruct-v1.5 ,APᵥ₁,0.004958269562,0.004958269562,1.619212767,1.619212767,,deepseek-coder-7b-instruct-v1.5 ,0.5599366678,,deepseek-coder-7b-instruct-v1.5 ,0.0063714614,2.459287917,,270,440,-33.33333333,48.14814815,3.076923077,0.008844221106,0.005979614949,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,19,88%,1.51,0.005,156.1293215,0.389,2.570694087,0.582781457,0.003732684234,1.127270639,0.5,0.6327983519,0.3275956516,1.088532235,deepseek-coder-7b-instruct-v1.5 ,APᵥ₂,0.004404678241,0.004404678241,1.527910772,1.527910772,,Meta-Llama-3-8B-Instruct,0.5082605001,,Meta-Llama-3-8B-Instruct,0.01217260092,1.65190017,,268,463.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,20,88%,1.25,0.004,129.859539,0.3112,3.213367609,0.704,0.0054212421,1.694138156,0.25,0.4148759069,0.4536632258,1.131900726,deepseek-coder-7b-instruct-v1.5 ,APᵥ₃,0.007721503434,0.007721503434,3.447744377,3.447744377,,Mistral-7B-Instruct-v0.3,0.644856927,,Mistral-7B-Instruct-v0.3,0.01069958796,1.81337681,,262,513.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,21,88%,1.3,0.005,134.77061,0.389,2.570694087,0.6769230769,0.005022779648,1.305922708,0.5,0.4556159698,0.367471676,0.9704106466,Meta-Llama-3-8B-Instruct,APᵥ₀,0.007823591225,0.007823591225,1.040179109,1.040179109,,Qwen2.5-1.5B-Instruct,0.4826797067,,Qwen2.5-1.5B-Instruct,0.005605341587,0.783118762,,295,546.6666667,,,,,,,,,,,,,
