Models,Prompts,Runs,Average Q %,C,E,Time(S),SCI_g_per_run,SEI_1_per_g,CER_%_per_g,SCV,SCV_E,SCI NORM,Time(S)_NORM,SVI,ECO,DeepSeek APᵥ₀ C mean,DeepSeek APᵥ₃ C mean,DeepSeek APᵥ₀ Q% Norm,DeepSeek APᵥ₃ Q% Norm,DeepSeek APᵥ₀ E HarmMean,DeepSeek APᵥ₃ E HarmMean,,Model,Metric,Mean ,Std ,Stability_Index,Std Norm,,Model,Stability_Index Mean,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,22,88%,1.49,0.005,154.1417772,0.389,2.570694087,0.5906040268,0.003831563626,1.14180596,0.5,0.6163105675,0.3309374144,1.077540378,Meta-Llama-3-8B-Instruct,APᵥ₁,0.002064594528,0.002064594528,0.7189543913,0.7189543913,,Phi-3.5-mini-instruct,0.6999846038,,Phi-3.5-mini-instruct,0.005812308792,1.223977265,,280,470,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,23,88%,1.41,0.005,146.0581171,0.389,2.570694087,0.6241134752,0.004273048891,1.204999787,0.5,0.549252114,0.3452618429,1.032834743,Meta-Llama-3-8B-Instruct,APᵥ₂,0.01229555576,0.01229555576,1.83187469,1.83187469,,,,,,,,,284,420,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,24,88%,1.59,0.006,165.0442862,0.4668,2.142245073,0.5534591195,0.003353397639,0.8886503743,0.75,0.706752938,0.2686292089,0.9752873932,Meta-Llama-3-8B-Instruct,APᵥ₃,0.01652161062,0.01539075683,2.263621231,2.263621231,,,,,,,,,272,496.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,25,88%,1.93,0.007,200.3941857,0.5446,1.836210062,0.4559585492,0.002275308276,0.6273349961,1,1,0.200586615,1,Mistral-7B-Instruct-v0.3,APᵥ₀,0.004073781574,0.004073781574,1.14446005,1.14446005,,,,,,,,,298.3333333,417.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,26,88%,1.43,0.005,148.1241205,0.389,2.570694087,0.6153846154,0.004154519962,1.188192709,0.5,0.5663907606,0.3414841644,1.044260507,Mistral-7B-Instruct-v0.3,APᵥ₁,0.002140385669,0.002140385669,0.7899799029,0.7899799029,,,,,,,,,274,456.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,27,88%,1.7,0.006,176.3275406,0.4668,2.142245073,0.5176470588,0.002935713032,0.8317853592,0.75,0.8003538039,0.2546631059,1.028773602,Mistral-7B-Instruct-v0.3,APᵥ₂,0.001675740148,0.001675740148,0.6149310624,0.6149310624,,,,,,,,,307.5,543.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,28,88%,1.39,0.005,144.0715232,0.389,2.570694087,0.6330935252,0.004394300215,1.22161546,0.5,0.5327722135,0.3489739932,1.021848142,Mistral-7B-Instruct-v0.3,APᵥ₃,0.01732539434,0.01732539434,2.48229357,2.48229357,,,,,,,,,282,446.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,29,88%,1.46,0.005,151.4804682,0.389,2.570694087,0.602739726,0.003978993023,1.161865963,0.5,0.5942335299,0.3355202547,1.062822353,Qwen2.5-1.5B-Instruct,APᵥ₀,0.005333055967,0.005333055967,0.6932972758,0.6932972758,,,,,,,,,264,546.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,30,88%,1.88,0.007,195.2818207,0.5446,1.836210062,0.4680851064,0.002396972257,0.6437582633,1,0.9575900908,0.2049321929,0.9787950454,Qwen2.5-1.5B-Instruct,APᵥ₁,0.00500104588,0.00500104588,0.6607796993,0.6607796993,,,,,,,,,300,443.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,31,88%,1.42,0.005,146.8248895,0.389,2.570694087,0.6197183099,0.004220798748,1.198706844,0.5,0.5556129177,0.3438500889,1.037075278,Qwen2.5-1.5B-Instruct,APᵥ₂,0.002587081729,0.002587081729,1.175219704,1.175219704,,,,,,,,,286,455,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,32,88%,1.3,0.005,134.6555842,0.389,2.570694087,0.6769230769,0.005027070218,1.307038257,0.5,0.454661767,0.3677127234,0.9697745113,Qwen2.5-1.5B-Instruct,APᵥ₃,0.005877627207,0.005877627207,0.8729402483,0.8729402483,,,,,,,,,270,533.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV0,33,88%,1.25,0.004,130.0324239,0.3112,3.213367609,0.704,0.005414034276,1.691885711,0.25,0.4163100831,0.4532038398,1.133048066,Phi-3.5-mini-instruct,APᵥ₀,0.007735645479,0.007735645479,1.042767589,1.042767589,,,,,,,,,274,536.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,1,88%,1.59,0.005,136.4272187,0.389,2.570694087,0.5534591195,0.004056808639,1.290065147,0.5,0.46935846,0.3640348183,0.9795723067,Phi-3.5-mini-instruct,APᵥ₁,0.002110657635,0.002110657635,0.732756061,0.732756061,,,,,,,,,312.5,536.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,2,88%,1.57,0.005,134.9978989,0.389,2.570694087,0.5605095541,0.004151987245,1.303723995,0.5,0.4575014573,0.3669962986,0.9716676382,Phi-3.5-mini-instruct,APᵥ₂,0.005105606507,0.003197281461,0.7061297242,0.7061297242,,,,,,,,,300,475,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,3,88%,1.74,0.005,147.6477552,0.389,2.570694087,0.5057471264,0.003425362789,1.192026251,0.5,0.5624390454,0.3423478449,1.04162603,Phi-3.5-mini-instruct,APᵥ₃,0.003888972105,0.003888972105,1.40518694,1.40518694,,,,,,,,,302,425,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,4,88%,1.56,0.004,132.5257996,0.3112,3.213367609,0.5641025641,0.004256549031,1.660054122,0.25,0.4369940206,0.4466804725,1.149595216,,,,,,,,,,,,,,,312.5,470,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,5,88%,1.77,0.005,150.6300211,0.389,2.570694087,0.4971751412,0.003300637799,1.168425781,0.5,0.5871785987,0.3370116258,1.058119066,,,,,,,,,,,,,,,260,503.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,6,88%,1.57,0.004,133.1369499,0.3112,3.213367609,0.5605095541,0.004210022497,1.65243383,0.25,0.4420638514,0.4451100882,1.153651081,model,ap_version,GF_0.3,GF_0.6,GF_0.9,GF_1.2,GF_1.5,GF_1.8,Mean_GF_Eco,Mean_GF_Quality,,,,,298,520,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,7,88%,1.65,0.005,140.5908682,0.389,2.570694087,0.5333333333,0.003793513336,1.251859401,0.5,0.5038982461,0.3556740899,1.002598831,deepseek-coder-7b-instruct-v1.5 ,APᵥ₀,0.9385902891,0.9534067972,0.9626682427,0.9693913604,0.9746440992,0.9789354931,1.068471144,0.88,,,,,282,530,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,8,88%,2.17,0.006,184.2503317,0.4668,2.142245073,0.4055299539,0.002200972721,0.7960184674,0.75,0.8660777593,0.2456937762,1.066330148,deepseek-coder-7b-instruct-v1.5 ,APᵥ₁,0.918882286,0.9284576629,0.9343917967,0.9386751271,0.9420074923,0.944720796,0.9995122795,0.88,,,,,265,540,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,9,88%,1.66,0.005,141.0290727,0.389,2.570694087,0.5301204819,0.003758944675,1.247969632,0.5,0.5075333963,0.3548164447,1.005022264,deepseek-coder-7b-instruct-v1.5 ,APᵥ₂,0.9302573913,0.9428255972,0.9506531239,0.9563216247,0.9607424033,0.964348909,1.03854589,0.88,,,,,275.7142857,486.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,10,88%,1.68,0.005,143.1299121,0.389,2.570694087,0.5238095238,0.003659678933,1.229652121,0.5,0.5249610262,0.3507615151,1.016640684,deepseek-coder-7b-instruct-v1.5 ,APᵥ₃,0.931645708,0.9445852038,0.9526488551,0.9584906934,0.9630480217,0.9667668128,1.043451183,0.88,,,,,286,415,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,11,88%,1.50,0.004,127.3605385,0.3112,3.213367609,0.5866666667,0.004606345684,1.727379632,0.25,0.3941453085,0.4604090866,1.115316247,Meta-Llama-3-8B-Instruct,APᵥ₀,0.911853077,0.919622756,0.9244231996,0.9278812802,0.9305676011,0.9327522891,0.9763777743,0.88,,,,,283.3333333,490,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,12,88%,1.59,0.005,135.3618378,0.389,2.570694087,0.5534591195,0.004088738217,1.300218753,0.5,0.4605205336,0.3662376719,0.9736803557,Meta-Llama-3-8B-Instruct,APᵥ₁,0.9167315235,0.9257508695,0.9313352015,0.9353635643,0.9384961339,0.9410458317,0.9923561433,0.88,,,,,278,520,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,13,88%,1.52,0.004,129.2633178,0.3112,3.213367609,0.5789473684,0.004478821822,1.701952292,0.25,0.4099299203,0.4552546611,1.127943936,Meta-Llama-3-8B-Instruct,APᵥ₂,0.912407949,0.9203189583,0.9252078958,0.9287302804,0.9314668753,0.9336926567,0.9781776687,0.88,,,,,292,510,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,14,88%,1.53,0.004,129.5114034,0.3112,3.213367609,0.5751633987,0.004441025143,1.698692117,0.25,0.4119879282,0.454591116,1.129590343,Meta-Llama-3-8B-Instruct,APᵥ₃,0.9140691939,0.9224045716,0.9275594722,0.9312752347,0.9341630842,0.9365125425,0.9835930771,0.88,,,,,268.5714286,432.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,15,88%,1.72,0.005,146.0261595,0.389,2.570694087,0.511627907,0.003503672963,1.205263499,0.5,0.5489870084,0.3453209337,1.032658006,Mistral-7B-Instruct-v0.3,APᵥ₀,0.9252500935,0.933883609,0.9392247047,0.9430755417,0.9460688679,0.9485044602,0.9973719306,0.89,,,,,284,437.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,16,88%,1.44,0.004,122.3570663,0.3112,3.213367609,0.6111111111,0.00499448973,1.798016303,0.25,0.3526387265,0.474537033,1.082110981,Mistral-7B-Instruct-v0.3,APᵥ₁,0.9298624309,0.9396862715,0.9457757924,0.9501719523,0.9535924853,0.9563778286,1.012672296,0.89,,,,,260,432.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,17,88%,1.70,0.005,144.6206755,0.389,2.570694087,0.5176470588,0.00357934339,1.216976753,0.5,0.5373277371,0.3479398876,1.024885158,Mistral-7B-Instruct-v0.3,APᵥ₂,0.934486841,0.9455183821,0.9523701255,0.957323038,0.9611805344,0.9643241375,1.028332573,0.89,,,,,312.5,453.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,18,88%,1.75,0.005,149.0598721,0.389,2.570694087,0.5028571429,0.003373524583,1.180733604,0.5,0.57415334,0.3398002129,1.04943556,Mistral-7B-Instruct-v0.3,APᵥ₃,0.912603391,0.9180455657,0.9213942037,0.9237999673,0.9256650884,0.9271795231,0.9569769691,0.89,,,,,,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,19,88%,1.92,0.005,163.2768957,0.389,2.570694087,0.4583333333,0.002807092402,1.077923482,0.5,0.6920914519,0.316116271,1.128060968,Qwen2.5-1.5B-Instruct,APᵥ₀,0.9374585911,0.9392167752,0.9402915243,0.9410603533,0.9416545148,0.9421357508,0.9513892436,0.93,,,,,Llama-3-8B-Instruct,,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,20,88%,1.57,0.004,133.2313313,0.3112,3.213367609,0.5605095541,0.004207040107,1.651263242,0.25,0.4428467975,0.4448685537,1.154277438,Qwen2.5-1.5B-Instruct,APᵥ₁,0.946218442,0.9500857936,0.9524582625,0.9541593617,0.9554762511,0.9565442998,0.9773362918,0.93,,,,,I_APV0 (gCO2/kWh),I_APV3 (gCO2/kWh),ΔSCI%,ΔSEI%,ΔEmission%,GQI_APV0,GQI_APV3,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,21,88%,2.26,0.006,192.017945,0.4668,2.142245073,0.389380531,0.00202783407,0.7638174997,0.75,0.9305144287,0.2374930146,1.103151102,Qwen2.5-1.5B-Instruct,APᵥ₂,0.9516813875,0.9568884174,0.9600898377,0.9623886469,0.9641701657,0.9656162785,0.9939896671,0.93,,,,,141.6666667,150,-27.27272727,45.45454545,-22.81879195,0.01084188912,0.007468175389,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,22,88%,1.78,0.005,151.3563247,0.389,2.570694087,0.4943820225,0.003266345318,1.162818933,0.5,0.5932036905,0.3357371334,1.062135794,Qwen2.5-1.5B-Instruct,APᵥ₃,0.9555735202,0.9617464711,0.9655477944,0.9682802071,0.9703993914,0.9721206474,1.006083962,0.93,,,,,133.3333333,125,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,23,88%,1.57,0.004,133.3373275,0.3112,3.213367609,0.5605095541,0.004203695728,1.649950573,0.25,0.4437260953,0.4445976076,1.154980876,Phi-3.5-mini-instruct,APᵥ₀,1.006305822,1.017764549,1.024876853,1.030015846,1.034016948,1.037276726,1.103484253,0.96,,,,,140,133.3333333,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,24,88%,2.23,0.006,189.3811743,0.4668,2.142245073,0.3946188341,0.002083727887,0.7744521979,0.75,0.9086409499,0.240214741,1.090651971,Phi-3.5-mini-instruct,APᵥ₁,1.00075449,1.010770189,1.0169731,1.021448488,1.02492914,1.027762453,1.084837507,0.96,,,,,150,130,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,25,88%,2.03,0.006,172.4209685,0.4668,2.142245073,0.4334975369,0.002514181082,0.8506312659,0.75,0.7679466171,0.2593311851,1.01025521,Phi-3.5-mini-instruct,APᵥ₂,1.010220934,1.022708857,1.030472086,1.036087189,1.040462345,1.044029053,1.116896743,0.96,,,,,143.3333333,125,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,26,88%,1.79,0.005,151.8114134,0.389,2.570694087,0.4916201117,0.00323836068,1.159333123,0.5,0.5969789041,0.3349434602,1.064652603,Phi-3.5-mini-instruct,APᵥ₃,0.9930450175,1.001088271,1.006054385,1.009630221,1.0124071,1.014664846,1.059638521,0.96,,,,,140,136.6666667,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,27,88%,2.06,0.006,175.35809,0.4668,2.142245073,0.427184466,0.002436069337,0.8363838057,0.75,0.7923116725,0.2558057834,1.024178099,,,,,,,,,,,,,,,131.4285714,127.5,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,28,88%,1.65,0.005,140.7152686,0.389,2.570694087,0.5333333333,0.00379015965,1.250752684,0.5,0.5049302171,0.3554301947,1.003286811,,𝛽 < 1,,,,𝛽 > 1,,,,,,,,,140,136.25,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,29,88%,1.83,0.005,155.7794829,0.389,2.570694087,0.4808743169,0.003086891213,1.129802184,0.5,0.6298962461,0.3281789508,1.086597497,,Model,GF_0.3,GF_0.6,GF_0.9,GF_1.2,GF_1.5,GF_1.8,,,,,,,131.6666667,130,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,30,88%,1.94,0.006,165.1594834,0.4668,2.142245073,0.4536082474,0.002746486233,0.8880305485,0.75,0.7077085634,0.2684788853,0.9758334648,,deepseek-coder-7b-instruct-v1.5 ,0.9351179985,0.9489960005,0.9576585489,0.9639410269,0.9688460604,0.9728511529,,,,,,,146,160,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,31,88%,1.62,0.005,138.1495213,0.389,2.570694087,0.5432098765,0.003932043132,1.273981975,0.5,0.4836459173,0.360529176,0.9890972782,,Meta-Llama-3-8B-Instruct,0.9129611354,0.9210136638,0.9259913359,0.9295782575,0.9323653426,0.9346324158,,,,,,,146,170,,,,,,,,,,,,,
deepseek-coder-7b-instruct-v1.5 ,APV1,32,88%,1.60,0.005,135.9992231,0.389,2.570694087,0.55,0.00404414075,1.29412504,0.5,0.4658079982,0.3649165789,0.9772053321,,Mistral-7B-Instruct-v0.3,0.9189267422,0.9259645873,0.9303094542,0.9334377545,0.9358669781,0.9378419916,,,,,,,141.4285714,152,,,,,,,,,,,,,
